Tweet,Lemmatized_Tokens
"RT @DelgadoSero: Βγαίνει ο άλλος, κάτοικος Σκύδρας, στην εκπομπή του Παπαδάκη","['βγαίνω', 'άλλος', 'κάτοικος', 'σκύδρα', 'εκπομπή', 'παπαδάκη']"
Και λέει ανοιχτά ότι σε περίπτωση που μετανάστης παρανομήσει…,"['λέω', 'ανοιχτά', 'περίπτωση', 'μετανάστης', 'παρανομήσω', '…']"
«Σας παρακαλώ ανοίξτε τα σύνορά σας να κάνετε και εσείς την χώρα σας ισλαμικό μπουρδέλο όπως κάνω την δικιά μου» είναι καλή ατάκα για πέσιμο?,"['παρακαλώ', 'ανοίξτε', 'σύνορά', 'κάνω', 'εσείς', 'χώρα', 'ισλαμικό', 'μπουρδέλο', 'κάνω', 'δικί', 'είναι', 'καλός', 'ατάκος', 'πέσιμο']"
RT @tolisv: «Σας παρακαλώ ανοίξτε τα σύνορά σας να κάνετε και εσείς την χώρα σας ισλαμικό μπουρδέλο όπως κάνω την δικιά μου» είναι καλή ατά…,"['σας', 'παρακαλώ', 'ανοίξτε', 'σύνορά', 'κάνω', 'εσείς', 'χώρα', 'ισλαμικό', 'μπουρδέλο', 'κάνω', 'δικί', 'είναι', 'καλός', 'ατά', '…']"
"Συνάντηση Αλ.Τσίπρα - Φρ. Ολάντ για το μέλλον της Ευρωζώνης, το προσφυγικό και τις εξελίξεις στα Βαλκάνια","['συνάντηση', 'αλτσίπρος', 'Ολάντ', 'μέλλον', 'ευρωζώνης', 'προσφυγικό', 'τις', 'εξελίξει', 'βαλκάνιας']"
μέσω του χρήστη @avgionline,"['του', 'χρήστη']"
"RT @AvgiOnline: Συνάντηση Αλ.Τσίπρα - Φρ. Ολάντ για το μέλλον της Ευρωζώνης, το προσφυγικό και τις εξελίξεις στα Βαλκάνια","['συνάντηση', 'αλτσίπρος', 'Ολάντ', 'μέλλον', 'ευρωζώνης', 'προσφυγικό', 'τις', 'εξελίξει', 'βαλκάνιας']"
"Βαρβιτσιώτης στον Realfm 97,8: Θα είναι λάθος να ‘τσιμπάμε’ στη λογική του να διμεροποιήσουμε το προσφυγικό - Είναι θέμα ευρωτουρκικό","['βαρβιτσιώτης', 'λάθος', '‘', 'τσιμπώ', '’', 'λογικός', 'διμεροποιήσω', 'προσφυγικό', 'θέμα', 'ευρωτουρκικό', 'seventyeight']"
"RT @enikos_gr: Βαρβιτσιώτης στον Realfm 97,8: Θα είναι λάθος να ‘τσιμπάμε’ στη λογική του να διμεροποιήσουμε το προσφυγικό - Είναι θέμα ευρ…","['βαρβιτσιώτης', 'λάθος', '‘', 'τσιμπώ', '’', 'λογικός', 'διμεροποιήσω', 'προσφυγικό', 'θέμα', 'ευρ', '…', 'seventyeight']"
"Debate Λαζαρίδη - Τριανταφυλλίδη στον Realfm 97,8 για το μεταναστευτικό - προσφυγικό","['λαζαρίδη', 'τριανταφυλλίδη', 'για', 'μεταναστευτικό', 'προσφυγικό', 'seventyeight', 'δημόσιος', 'συζήτηση']"
