Tweet,Greek_Words,Lemmatized_Tokens
"RT @enikos_gr: Βαρβιτσιώτης στον Realfm 97,8: Θα είναι λάθος να ‘τσιμπάμε’ στη λογική του να διμεροποιήσουμε το προσφυγικό - Είναι θέμα ευρ…",Βαρβιτσιώτης 978 είναι λάθος ‘τσιμπάμε’ λογική διμεροποιήσουμε προσφυγικό θέμα ευρ…,"['βαρβιτσιώτης', '978', 'είναι', 'λάθος', ""'"", 'τσιμπώ', '’', 'λογικός', 'διμεροποιήσω', 'προσφυγικό', 'θέμα', 'ευρ', '…']"
"Debate Λαζαρίδη - Τριανταφυλλίδη στον Realfm 97,8 για το μεταναστευτικό - προσφυγικό",Λαζαρίδη Τριανταφυλλίδη 978 μεταναστευτικό προσφυγικό,"['λαζαρίδη', 'τριανταφυλλίδη', '978', 'μεταναστευτικό', 'προσφυγικό']"
"Θυμάμαι τις φτωχογειτονιές του Μονακό που μεγάλωσα να ερημώνουν, καθώς η προσφυγιά και η μετανάστευση χτυπούσαν τη μια βίλλα μετά την άλλη και τους φίλους μου να φεύγουν με τις οικογένειές τους, σε αναζήτηση καλύτερης μεταχείρισης σε μακρυνους φορολογικους παραδείσους",Θυμάμαι φτωχογειτονιές Μονακό μεγάλωσα ερημώνουν προσφυγιά μετανάστευση χτυπούσαν μια βίλλα την και φίλους φεύγουν τις οικογένειές αναζήτηση καλύτερης μεταχείρισης μακρυνους φορολογικους παραδείσους,"['θυμάμαι', 'φτωχογειτονιός', 'μονακό', 'μεγάλωσας', 'ερημώνω', 'προσφυγιά', 'μετανάστευση', 'χτυπώ', 'μια', 'βίλλας', 'την', 'και', 'φίλου', 'φεύγω', 'τις', 'οικογένειός', 'αναζήτηση', 'καλός', 'μεταχείριση', 'μακρυνους', 'φορολογικου', 'παραδείσου']"
"RT @thanos1625: Θυμάμαι τις φτωχογειτονιές του Μονακό που μεγάλωσα να ερημώνουν, καθώς η προσφυγιά και η μετανάστευση χτυπούσαν τη μια βίλλ…",1625 Θυμάμαι φτωχογειτονιές Μονακό μεγάλωσα ερημώνουν προσφυγιά μετανάστευση χτυπούσαν μια βίλλ…,"['1625', 'θυμάμαι', 'φτωχογειτονιός', 'μονακό', 'μεγάλωσας', 'ερημώνω', 'προσφυγιά', 'μετανάστευση', 'χτυπώ', 'μια', 'βίλλ', '…']"
Παράνομη είσοδο στην χώρα και σταματήστε επιτέλους αυτή την καραμέλα.,Παράνομη είσοδο χώρα σταματήστε επιτέλους την καραμέλα,"['παράνομη', 'είσοδος', 'χώρα', 'σταματήστε', 'επιτέλους', 'την', 'καραμέλα']"
Τα ευρωπαϊκά ταξίδια Μητσοτάκη με τις εκκλήσεις να αντιμετωπίσει η Ευρώπη το πρόβλημα της λαθρομετανάστευσης θυμίζουν τα ευρωπαϊκά ταξίδια Τσίπρα και Βαρουφάκη με τις εκκλήσεις να αντιμετωπίσει η Ευρώπη το πρόβλημα του χρέους. Πολυλογία και συναισθηματισμός άνευ αποτελέσματος.,ευρωπαϊκά ταξίδια Μητσοτάκη τις εκκλήσεις αντιμετωπίσει Ευρώπη πρόβλημα λαθρομετανάστευσης θυμίζουν ευρωπαϊκά ταξίδια Τσίπρα Βαρουφάκη τις εκκλήσεις αντιμετωπίσει Ευρώπη πρόβλημα χρέους Πολυλογία συναισθηματισμός αποτελέσματος,"['ευρωπαϊκά', 'ταξίδιος', 'μητσοτάκη', 'τις', 'εκκλήσει', 'αντιμετωπίσω', 'Ευρώπη', 'πρόβλημα', 'λαθρομετανάστευση', 'θυμίζω', 'ευρωπαϊκά', 'ταξίδι', 'Τσίπρα', 'βαρουφάκη', 'τις', 'εκκλήσει', 'αντιμετωπίσω', 'Ευρώπη', 'πρόβλημα', 'χρέους', 'πολυλογία', 'συναισθηματισμός', 'αποτελέσμα']"
RT @egrammes: Τα ευρωπαϊκά ταξίδια Μητσοτάκη με τις εκκλήσεις να αντιμετωπίσει η Ευρώπη το πρόβλημα της λαθρομετανάστευσης θυμίζουν τα ευρω…,ευρωπαϊκά ταξίδια Μητσοτάκη τις εκκλήσεις αντιμετωπίσει Ευρώπη πρόβλημα λαθρομετανάστευσης θυμίζουν ευρω…,"['ευρωπαϊκά', 'ταξίδιος', 'μητσοτάκη', 'τις', 'εκκλήσει', 'αντιμετωπίσω', 'Ευρώπη', 'πρόβλημα', 'λαθρομετανάστευση', 'θυμίζω', 'ευρω', '…']"
"Άντε γιατί μας έχετε ζαλίσει όλοι οι ανθρωπιστές της δεκάρας, ότι δεν μπορεί να απελαθεί κανένας.",Άντε μας ζαλίσει ανθρωπιστές δεκάρας δεν απελαθεί,"['άντε', 'μας', 'ζαλίσω', 'ανθρωπιστός', 'δεκάρα', 'δεν', 'απελαθώ']"
"RT @georgegkolias: Άντε γιατί μας έχετε ζαλίσει όλοι οι ανθρωπιστές της δεκάρας, ότι δεν μπορεί να απελαθεί κανένας.",Άντε μας ζαλίσει ανθρωπιστές δεκάρας δεν απελαθεί,"['άντε', 'μας', 'ζαλίσω', 'ανθρωπιστός', 'δεκάρα', 'δεν', 'απελαθώ']"
Παρδόν;;; Δηλαδή εμείς πληρώνουμε για να δεχόμαστε εισβολή;;,Παρδόν εμείς πληρώνουμε δεχόμαστε εισβολή,"['παρδόν', 'εμείς', 'πληρώνω', 'δεχόμαστε', 'εισβολή']"
